Minister,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Greg Clark,10/07/2018,Chemistry Growth Partnership,Dinner,No
Greg Clark,16/07/2018,Boeing International,Lunch,No
Greg Clark,23/07/2018,"National Innovation Centre for Ageing, Newcastle University",Lunch,No
Greg Clark,24/07/2018,MEDEF,Lunch,No
Greg Clark,06/08/2018,System Operator Northern Ireland,Lunch,No
Greg Clark,07/08/2018,Sellafield Ltd,Brunch,No
Greg Clark,07/08/2018,Sellafield Ltd,Lunch,No
Greg Clark,07/08/2018,Scottish Government,Dinner,No
Greg Clark,06/09/2018,Ascott Transport Limited,Lunch,No
Claire Perry,04/07/2018,Tokamak Energy Ltd,Dinner ,No
Claire Perry,10/07/2018,Bright Blue,Dinner,No
Sam Gyimah,Nil return,Nil return,Nil return,Nil return
Richard Harrington,12/07/2018,Aluminium Federation,Lunch,No
Andrew Griffiths,02/07/2018,Federation of Small Businesses Summer Reception,Reception,No
Andrew Griffiths,03/07/2018,Business in the Communitys Responsible Business Awards Gala Dinner,Dinner,No
Kelly Tolhurst,Nil return,Nil return,Nil return,Nil return
Lord Henley,Nil return,Nil return,Nil return,Nil return
