Minister,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Rt Hon Greg Clark,04/09/2017,University of Warwick,Dinner,No
Claire Perry,Nil return,Nil return,Nil return,Nil return
Jo Johnson,Nil return,Nil return,Nil return,Nil return
Margot James,13/07/2017,Borough Market,Lunch,No
Margot James,24/07/2017,University of Birmingham,Lunch,No
Richard Harrington,Nil return,Nil return,Nil return,Nil return
Lord Prior,04/07/2017,Rothschild Global Advisory,Breakfast,No
Lord Prior,18/07/2017,Boston Consulting Group ,Dinner,No
Lord Prior,26/07/2017,"Rider Levett Bucknall, Tideway and the National Infrastructure Commission",Dinner,No
Lord Prior,23/08/2017,Construction Leadership Council,Dinner,No
Lord Prior,20/09/2017,Royal Institution Of Chartered Surveyors,Dinner,No
Lord Prior,11/09/2017,BAE Systems Reception ,Drinks Reception,No
Lord Prior,12/09/2017,Innovate UKs 10 Year Anniversary event,Drinks Reception,No
Lord Prior,13/09/2017,Association of British Healthcare Industries,Breakfast,No
Lord Prior,13/09/2017,Thales UK,Lunch,No
